abv,brewer,link,name,note,score,style,category
6.2,Fiddlehead Brewing Company,https://www.beeradvocate.com/beer/profile/27919/76970/,Fiddlehead Ipa,"multiple results, guessed best match",91.0,American IPA,IPA
7.1,Finback Brewery,http://www.beeradvocate.com/search/?q=Rolling+In+Clouds&qt=beer,Rolling In Clouds,,91.0,American IPA,IPA
6.0,Jester King Brewery,https://www.beeradvocate.com/beer/profile/24018/318134/,Vague Recollection,"multiple results, guessed best match",91.0,Belgian Saison,Other
6.5,Belhaven Brewery,https://www.beeradvocate.com/beer/profile/148/79/,Belhaven Wee Heavy,"multiple results, guessed best match",91.0,Scotch Ale / Wee Heavy,Ale
5.7,Jester King Brewery,https://www.beeradvocate.com/beer/profile/24018/288937/,Spon 1,"multiple results, guessed best match",91.0,Belgian Fruit Lambic,Sour
4.9,Firestone Walker Brewing Company,https://www.beeradvocate.com/beer/profile/2210/88903/,Bretta Weisse,"multiple results, guessed best match",91.0,Berliner Weisse,Sour
6.5,Common Roots Brewing Company,http://www.beeradvocate.com/search/?q=Good+Fortune&qt=beer,Good Fortune,,91.0,New England IPA,IPA
8.5,Founders Brewing Company,https://www.beeradvocate.com/beer/profile/1199/7463/,Dirty Bastard,"multiple results, guessed best match",91.0,Scotch Ale / Wee Heavy,Ale
7.0,Captain Lawrence Brewing Company,https://www.beeradvocate.com/beer/profile/12959/446724/,Citra Dreams,"multiple results, guessed best match",91.0,New England IPA,IPA
7.5,Ithaca Beer Company,https://www.beeradvocate.com/beer/profile/651/78532/,Flower Power,"multiple results, guessed best match",91.0,American IPA,IPA
6.8,Springdale Beer Company,https://www.beeradvocate.com/beer/profile/48475/281706/,Brigadeiro,"multiple results, guessed best match",91.0,English Oatmeal Stout,Stout
6.8,Destihl Brewery,http://www.beeradvocate.com/search/?q=Extended+Jam&qt=beer,Extended Jam,,90.0,New England IPA,IPA
6.4,Bellwoods Brewery,https://www.beeradvocate.com/beer/profile/28820/305255/,White Picket Fence,"multiple results, guessed best match",90.0,Belgian Saison,Other
11.7,Meantime Brewing Company,https://www.beeradvocate.com/beer/profile/5062/367343/,Thomas Hardy Ale,"multiple results, guessed best match",90.0,English Barleywine,Other
