name,style,score,brewer,abv,link,note,category
Cosmic Distortion,American Imperial IPA,93.0,Mighty Squirrel Brewing Company,8.0,http://www.beeradvocate.com/search/?q=Cosmic+Distortion&qt=beer,,IPA
Johnny Hammertime,New England IPA,93.0,Mighty Squirrel Brewing Company,9.7,http://www.beeradvocate.com/search/?q=Johnny+Hammertime&qt=beer,,IPA
Arrogant Bastard,American Strong Ale,93.0,Stone Brewing Company,7.2,https://www.beeradvocate.com/beer/profile/43153/92/,"multiple results, guessed best match",Ale
Jigsaw Jazz,American Imperial IPA,93.0,Fort Hill Brewery,9.3,http://www.beeradvocate.com/search/?q=Jigsaw+Jazz&qt=beer,,IPA
Sixth Glass,Belgian Quadrupel (Quad),93.0,Boulevard Brewing Company,10.2,http://www.beeradvocate.com/search/?q=Sixth+Glass&qt=beer,,Other
Bakery: Cherry Pie,American Imperial Stout,93.0,The Bruery,10.2,http://www.beeradvocate.com/search/?q=Bakery:+Cherry+Pie&qt=beer,,Stout
Boar,American IPA,93.0,Canned Heat Craft Beer Company,6.6,https://www.beeradvocate.com/beer/profile/30654/255255/,"multiple results, guessed best match",IPA
Halia,Belgian Saison,93.0,Goose Island Beer Company,7.5,https://www.beeradvocate.com/beer/profile/1146/68362/,"multiple results, guessed best match",Other
Tank 7,Belgian Saison,93.0,Boulevard Brewing Company,8.5,https://www.beeradvocate.com/beer/profile/423/50570/,"multiple results, guessed best match",Other
Double Hop Hop,American Imperial IPA,93.0,Aeronaut Brewing Company,8.4,https://www.beeradvocate.com/beer/profile/34607/297253/,"multiple results, guessed best match",IPA
Barn Beer,American Wild Ale,93.0,Plan Bee Farm Brewery,5.5,https://www.beeradvocate.com/beer/profile/33607/220109/,"multiple results, guessed best match",Ale
Three Philosophers,Belgian Quadrupel (Quad),93.0,Brewery Ommegang,9.7,https://www.beeradvocate.com/beer/profile/42/3457/,"multiple results, guessed best match",Other
Cadillac Mountain,Irish Dry Stout,93.0,Atlantic Brewing Company,6.7,https://www.beeradvocate.com/beer/profile/347/3338/,"multiple results, guessed best match",Stout
Allagash Tripel,Belgian Tripel,93.0,Allagash Brewing Company,9.0,https://www.beeradvocate.com/beer/profile/4/448/,"multiple results, guessed best match",Other
White,Belgian Witbier,93.0,Allagash Brewing Company,5.1,https://www.beeradvocate.com/beer/profile/4/59/,"multiple results, guessed best match",Other
